"avg_temp","wind_speed","avg_trip_duration"
59,"18.1","566.77"
84,"29.1","564.19"
29,"21.9","563.82"
29,"16.1","561.22"
42,"21.9","561.02"
65,"14.1","560.93"
52,"29.1","560.43"
61,"15","560.22"
65,"18.1","558.14"
47,"36.9","557.81"
76,"18.1","556.54"
42,"15","556.05"
54,"33.1","554.11"
64,"23","549.05"
57,"15","547.76"
53,"35.1","544.24"
48,"23.9","544.22"
38,"10.1","543.50"
51,"12.1","542.33"
63,"23.9","535.96"
80,"14.1","535.33"
68,"21","534.09"
83,"21","534.06"
45,"31.1","531.66"
69,"23","531.49"
45,"18.1","531.27"
58,"30","529.36"
50,"14.1","527.10"
49,"14.1","527.05"
48,"8.1","526.06"
56,"16.1","525.60"
71,"19.9","525.38"
29,"15","524.04"
41,"16.1","521.41"
85,"28","519.93"
51,"25.9","514.97"
54,"35.1","514.66"
38,"13","512.03"
52,"18.1","510.00"
61,"23","505.74"
55,"23","502.42"
53,"13","496.22"
62,"8.9","490.25"
45,"19.9","489.98"
40,"30","486.25"
51,"18.1","485.75"
28,"36","478.54"
48,"17","477.90"
20,"19.9","476.61"
36,"30","475.73"
45,"17","472.30"
28,"21","471.76"
60,"21.9","471.62"
28,"12.1","468.54"
42,"17","467.29"
42,"36.9","463.81"
38,"14.1","463.79"
32,"25.9","460.36"
39,"21.9","460.26"
42,"18.1","458.46"
57,"28","455.23"
37,"21.9","454.87"
27,"31.1","454.78"
31,"15","454.09"
52,"28","454.08"
45,"21","454.04"
41,"23","453.29"
59,"23.9","451.56"
35,"23","450.96"
34,"28","450.93"
36,"23.9","448.78"
54,"23","447.56"
49,"15","446.30"
55,"23.9","444.79"
49,"25.1","442.28"
21,"36.9","442.02"
38,"18.1","441.45"
48,"32","440.90"
31,"35.1","440.74"
32,"23","440.35"
39,"21","438.98"
47,"17","437.58"
43,"11","436.18"
31,"21.9","433.60"
27,"32","429.97"
43,"21.9","426.51"
48,"29.1","424.60"
31,"18.1","420.41"
39,"32","418.37"
32,"13","402.68"
37,"25.9","399.20"
42,"29.1","396.82"
19,"25.1","394.19"
41,"19.9","394.13"
25,"13","379.68"
